Time String,Event String,Event data String
13-03-2025 15:53:53,Boiler Initialized,0
13-03-2025 15:54:30,Boiler Ready,0
13-03-2025 15:55:02,Start Pre-Purge,0.000000
13-03-2025 15:55:02,Start Pre-Purge,0.099036
13-03-2025 15:55:02,Start Pre-Purge,0.200368
13-03-2025 15:55:02,Start Pre-Purge,0.299654
13-03-2025 15:55:02,Start Pre-Purge,0.401020
13-03-2025 15:55:02,Start Pre-Purge,0.501322
13-03-2025 15:55:02,Start Pre-Purge,0.601007
13-03-2025 15:55:02,Start Pre-Purge,0.701692
13-03-2025 15:55:02,Start Pre-Purge,0.802685
13-03-2025 15:55:02,Start Pre-Purge,0.902142
13-03-2025 15:55:02,Start Pre-Purge,1.002675
13-03-2025 15:55:02,Start Pre-Purge,1.103326
13-03-2025 15:55:02,Start Pre-Purge,1.203662
13-03-2025 15:55:02,Start Pre-Purge,1.303497
13-03-2025 15:55:02,Start Pre-Purge,1.403107
13-03-2025 15:55:02,Start Pre-Purge,1.504697
13-03-2025 15:55:02,Start Pre-Purge,1.604688
13-03-2025 15:55:02,Start Pre-Purge,1.705381
13-03-2025 15:55:02,Start Pre-Purge,1.806134
13-03-2025 15:55:02,Start Pre-Purge,1.906764
13-03-2025 15:55:02,Start Pre-Purge,2.008200
13-03-2025 15:55:02,Start Pre-Purge,2.108504
13-03-2025 15:55:02,Start Pre-Purge,2.207633
13-03-2025 15:55:02,Start Pre-Purge,2.308094
13-03-2025 15:55:02,Start Pre-Purge,2.407994
13-03-2025 15:55:02,Start Pre-Purge,2.508766
13-03-2025 15:55:02,Start Pre-Purge,2.609025
13-03-2025 15:55:02,Start Pre-Purge,2.708831
13-03-2025 15:55:02,Start Pre-Purge,2.809528
13-03-2025 15:55:02,Start Pre-Purge,2.910251
13-03-2025 15:55:02,Start Pre-Purge,3.011050
13-03-2025 15:55:02,Start Pre-Purge,3.111751
13-03-2025 15:55:02,Start Pre-Purge,3.211635
13-03-2025 15:55:02,Start Pre-Purge,3.313471
13-03-2025 15:55:02,Start Pre-Purge,3.413915
13-03-2025 15:55:02,Start Pre-Purge,3.515230
13-03-2025 15:55:02,Start Pre-Purge,3.616072
13-03-2025 15:55:02,Start Pre-Purge,3.717081
13-03-2025 15:55:02,Start Pre-Purge,3.817853
13-03-2025 15:55:02,Start Pre-Purge,3.918029
13-03-2025 15:55:02,Start Pre-Purge,4.018793
13-03-2025 15:55:02,Start Pre-Purge,4.119695
13-03-2025 15:55:02,Start Pre-Purge,4.220016
13-03-2025 15:55:02,Start Pre-Purge,4.321238
13-03-2025 15:55:02,Start Pre-Purge,4.420957
13-03-2025 15:55:02,Start Pre-Purge,4.521488
13-03-2025 15:55:02,Start Pre-Purge,4.621655
13-03-2025 15:55:02,Start Pre-Purge,4.722848
13-03-2025 15:55:02,Start Pre-Purge,4.824105
13-03-2025 15:55:02,Start Pre-Purge,4.924477
13-03-2025 15:55:02,Start Pre-Purge,5.024077
13-03-2025 15:55:02,Start Pre-Purge,5.125045
13-03-2025 15:55:02,Start Pre-Purge,5.225054
13-03-2025 15:55:02,Start Pre-Purge,5.325811
13-03-2025 15:55:02,Start Pre-Purge,5.425552
13-03-2025 15:55:02,Start Pre-Purge,5.527293
13-03-2025 15:55:02,Start Pre-Purge,5.627045
13-03-2025 15:55:02,Start Pre-Purge,5.726747
13-03-2025 15:55:02,Start Pre-Purge,5.827689
13-03-2025 15:55:02,Start Pre-Purge,5.927957
13-03-2025 15:55:02,Start Pre-Purge,6.027819
13-03-2025 15:55:02,Start Pre-Purge,6.127551
13-03-2025 15:55:02,Start Pre-Purge,6.228309
13-03-2025 15:55:02,Start Pre-Purge,6.328436
13-03-2025 15:55:02,Start Pre-Purge,6.427877
13-03-2025 15:55:02,Start Pre-Purge,6.529276
13-03-2025 15:55:02,Start Pre-Purge,6.629070
13-03-2025 15:55:02,Start Pre-Purge,6.729025
13-03-2025 15:55:02,Start Pre-Purge,6.829628
13-03-2025 15:55:02,Start Pre-Purge,6.929071
13-03-2025 15:55:02,Start Pre-Purge,7.028971
13-03-2025 15:55:02,Start Pre-Purge,7.128846
13-03-2025 15:55:02,Start Pre-Purge,7.228975
13-03-2025 15:55:02,Start Pre-Purge,7.328845
13-03-2025 15:55:02,Start Pre-Purge,7.429983
13-03-2025 15:55:02,Start Pre-Purge,7.530657
13-03-2025 15:55:02,Start Pre-Purge,7.632356
13-03-2025 15:55:02,Start Pre-Purge,7.731647
13-03-2025 15:55:02,Start Pre-Purge,7.832119
13-03-2025 15:55:02,Start Pre-Purge,7.931777
13-03-2025 15:55:02,Start Pre-Purge,8.033066
13-03-2025 15:55:02,Start Pre-Purge,8.134300
13-03-2025 15:55:02,Start Pre-Purge,8.235619
13-03-2025 15:55:02,Start Pre-Purge,8.335749
13-03-2025 15:55:02,Start Pre-Purge,8.436864
13-03-2025 15:55:02,Start Pre-Purge,8.538021
13-03-2025 15:55:02,Start Pre-Purge,8.638582
13-03-2025 15:55:02,Start Pre-Purge,8.737699
13-03-2025 15:55:02,Start Pre-Purge,8.838248
13-03-2025 15:55:02,Start Pre-Purge,8.939499
13-03-2025 15:55:02,Start Pre-Purge,9.040590
13-03-2025 15:55:02,Start Pre-Purge,9.140014
13-03-2025 15:55:02,Start Pre-Purge,9.239910
